 
PGA:,  0.43 g
PGV:,  23.72 cm/s
PGD:,  7.84 cm
Arias Intensity:,  133.01 cm/s
Significant duration:,  10.91 s
 
 
Damping ratio for spectra:  0.05

 
period [s]	SD. [cm]	PSV [cm/s]	PSA [g]
0.0010	, 0.000	, 0.067	, 0.430
0.1010	, 0.187	, 11.603	, 0.736
0.2010	, 0.564	, 17.621	, 0.561
0.3010	, 1.036	, 21.629	, 0.460
0.4010	, 2.521	, 39.507	, 0.631
0.5010	, 2.983	, 37.411	, 0.478
0.6010	, 3.663	, 38.290	, 0.408
0.7010	, 4.850	, 43.473	, 0.397
0.8010	, 5.469	, 42.897	, 0.343
0.9010	, 5.584	, 38.941	, 0.277
1.0010	, 5.235	, 32.861	, 0.210
1.1010	, 6.565	, 37.467	, 0.218
1.2010	, 5.890	, 30.815	, 0.164
1.3010	, 7.636	, 36.880	, 0.182
1.4010	, 8.345	, 37.424	, 0.171
1.5010	, 6.689	, 28.002	, 0.119
1.6010	, 5.478	, 21.500	, 0.086
1.7010	, 5.043	, 18.628	, 0.070
1.8010	, 4.961	, 17.307	, 0.062
1.9010	, 5.233	, 17.297	, 0.058
2.0010	, 5.676	, 17.824	, 0.057
2.1010	, 6.195	, 18.525	, 0.056
2.2010	, 6.770	, 19.325	, 0.056
2.3010	, 7.269	, 19.850	, 0.055
2.4010	, 7.649	, 20.017	, 0.053
2.5010	, 7.993	, 20.080	, 0.051
2.6010	, 8.136	, 19.654	, 0.048
2.7010	, 8.263	, 19.222	, 0.046
2.8010	, 8.501	, 19.070	, 0.044
2.9010	, 8.839	, 19.145	, 0.042
3.0010	, 9.166	, 19.191	, 0.041
3.1010	, 10.146	, 20.557	, 0.042
3.2010	, 11.242	, 22.067	, 0.044
3.3010	, 12.113	, 23.057	, 0.045
3.4010	, 12.709	, 23.479	, 0.044
3.5010	, 13.009	, 23.347	, 0.043
3.6010	, 13.312	, 23.228	, 0.041
3.7010	, 13.526	, 22.963	, 0.040
3.8010	, 13.623	, 22.519	, 0.038
3.9010	, 13.619	, 21.936	, 0.036
4.0010	, 13.542	, 21.266	, 0.034
4.1010	, 13.410	, 20.545	, 0.032
4.2010	, 13.239	, 19.800	, 0.030
4.3010	, 13.273	, 19.390	, 0.029
4.4010	, 13.207	, 18.855	, 0.027
4.5010	, 13.025	, 18.182	, 0.026
4.6010	, 12.737	, 17.394	, 0.024
4.7010	, 12.761	, 17.056	, 0.023
4.8010	, 12.765	, 16.706	, 0.022
4.9010	, 12.741	, 16.334	, 0.021
5.0010	, 12.689	, 15.942	, 0.020
5.1010	, 12.610	, 15.532	, 0.020
5.2010	, 12.503	, 15.104	, 0.019
5.3010	, 12.368	, 14.660	, 0.018
5.4010	, 12.207	, 14.201	, 0.017
5.5010	, 12.020	, 13.729	, 0.016
5.6010	, 11.808	, 13.246	, 0.015
5.7010	, 11.573	, 12.755	, 0.014
5.8010	, 11.318	, 12.259	, 0.014
5.9010	, 11.044	, 11.760	, 0.013
6.0010	, 10.754	, 11.260	, 0.012
6.1010	, 10.592	, 10.909	, 0.011
6.2010	, 10.570	, 10.710	, 0.011
6.3010	, 10.517	, 10.487	, 0.011
6.4010	, 10.435	, 10.243	, 0.010
6.5010	, 10.326	, 9.980	, 0.010
6.6010	, 10.192	, 9.701	, 0.009
6.7010	, 10.036	, 9.410	, 0.009
6.8010	, 9.861	, 9.110	, 0.009
6.9010	, 9.900	, 9.014	, 0.008
7.0010	, 10.035	, 9.006	, 0.008
7.1010	, 10.157	, 8.988	, 0.008
7.2010	, 10.268	, 8.959	, 0.008
7.3010	, 10.367	, 8.922	, 0.008
7.4010	, 10.455	, 8.876	, 0.008
7.5010	, 10.532	, 8.822	, 0.008
7.6010	, 10.599	, 8.761	, 0.007
7.7010	, 10.656	, 8.694	, 0.007
7.8010	, 10.704	, 8.622	, 0.007
7.9010	, 10.744	, 8.544	, 0.007
8.0010	, 10.775	, 8.462	, 0.007
8.1010	, 10.799	, 8.376	, 0.007
8.2010	, 10.816	, 8.286	, 0.006
8.3010	, 10.826	, 8.194	, 0.006
8.4010	, 10.830	, 8.100	, 0.006
8.5010	, 10.828	, 8.003	, 0.006
8.6010	, 10.821	, 7.905	, 0.006
8.7010	, 10.809	, 7.805	, 0.006
8.8010	, 10.793	, 7.705	, 0.006
8.9010	, 10.773	, 7.605	, 0.005
9.0010	, 10.749	, 7.503	, 0.005
9.1010	, 10.722	, 7.402	, 0.005
9.2010	, 10.691	, 7.301	, 0.005
9.3010	, 10.658	, 7.200	, 0.005
9.4010	, 10.623	, 7.100	, 0.005
9.5010	, 10.586	, 7.000	, 0.005
9.6010	, 10.546	, 6.902	, 0.005
9.7010	, 10.505	, 6.804	, 0.004
9.8010	, 10.463	, 6.707	, 0.004
9.9010	, 10.419	, 6.612	, 0.004
 
acceleration, velocity, displacement and normalized Arias intensity time histories:
 
time [s]	accel. [g]	vel. [cm/s]	displ. [cm]	AI
0.000	-0.0001937	0.0000000	0.0000000	0.0000000
0.005	-0.0001940	-0.0009508	-0.0000024	0.0000000
0.010	-0.0001943	-0.0019031	-0.0000095	0.0000000
