 
PGA:,  0.13 g
PGV:,  17.24 cm/s
PGD:,  7.06 cm
Arias Intensity:,  57.59 cm/s
Significant duration:,  23.65 s
 
 
Damping ratio for spectra:  0.05

 
period [s]	SD. [cm]	PSV [cm/s]	PSA [g]
0.0010	, 0.000	, 0.020	, 0.126
0.1010	, 0.055	, 3.440	, 0.218
0.2010	, 0.338	, 10.552	, 0.336
0.3010	, 0.896	, 18.698	, 0.398
0.4010	, 1.371	, 21.475	, 0.343
0.5010	, 2.746	, 34.440	, 0.440
0.6010	, 2.084	, 21.792	, 0.232
0.7010	, 3.630	, 32.539	, 0.297
0.8010	, 5.290	, 41.498	, 0.332
0.9010	, 7.643	, 53.300	, 0.379
1.0010	, 9.437	, 59.234	, 0.379
1.1010	, 9.867	, 56.309	, 0.328
1.2010	, 6.717	, 35.140	, 0.187
1.3010	, 9.804	, 47.348	, 0.233
1.4010	, 8.090	, 36.283	, 0.166
1.5010	, 9.846	, 41.214	, 0.176
1.6010	, 10.676	, 41.898	, 0.168
1.7010	, 12.203	, 45.074	, 0.170
1.8010	, 11.873	, 41.421	, 0.147
1.9010	, 12.107	, 40.017	, 0.135
2.0010	, 12.668	, 39.778	, 0.127
2.1010	, 13.275	, 39.701	, 0.121
2.2010	, 11.904	, 33.982	, 0.099
2.3010	, 9.887	, 26.998	, 0.075
2.4010	, 9.856	, 25.792	, 0.069
2.5010	, 9.403	, 23.622	, 0.060
2.6010	, 10.662	, 25.755	, 0.063
2.7010	, 12.952	, 30.130	, 0.071
2.8010	, 14.949	, 33.533	, 0.077
2.9010	, 16.775	, 36.332	, 0.080
3.0010	, 18.069	, 37.832	, 0.081
3.1010	, 17.643	, 35.747	, 0.074
3.2010	, 16.931	, 33.234	, 0.066
3.3010	, 16.126	, 30.695	, 0.060
3.4010	, 14.884	, 27.498	, 0.052
3.5010	, 13.514	, 24.253	, 0.044
3.6010	, 12.206	, 21.298	, 0.038
3.7010	, 11.272	, 19.137	, 0.033
3.8010	, 11.054	, 18.273	, 0.031
3.9010	, 10.924	, 17.596	, 0.029
4.0010	, 10.813	, 16.981	, 0.027
4.1010	, 10.643	, 16.306	, 0.025
4.2010	, 10.354	, 15.486	, 0.024
4.3010	, 10.271	, 15.005	, 0.022
4.4010	, 10.616	, 15.157	, 0.022
4.5010	, 10.440	, 14.574	, 0.021
4.6010	, 9.914	, 13.539	, 0.019
4.7010	, 9.803	, 13.102	, 0.018
4.8010	, 9.575	, 12.532	, 0.017
4.9010	, 9.219	, 11.819	, 0.015
5.0010	, 9.036	, 11.353	, 0.015
5.1010	, 9.507	, 11.710	, 0.015
5.2010	, 10.114	, 12.218	, 0.015
5.3010	, 10.729	, 12.717	, 0.015
5.4010	, 11.231	, 13.066	, 0.015
5.5010	, 11.532	, 13.171	, 0.015
5.6010	, 11.578	, 12.988	, 0.015
5.7010	, 11.873	, 13.085	, 0.015
5.8010	, 11.825	, 12.808	, 0.014
5.9010	, 11.454	, 12.196	, 0.013
6.0010	, 10.821	, 11.330	, 0.012
6.1010	, 10.005	, 10.304	, 0.011
6.2010	, 9.293	, 9.416	, 0.010
6.3010	, 9.113	, 9.087	, 0.009
6.4010	, 8.827	, 8.665	, 0.009
6.5010	, 8.467	, 8.183	, 0.008
6.6010	, 8.064	, 7.676	, 0.007
6.7010	, 7.771	, 7.287	, 0.007
6.8010	, 7.550	, 6.975	, 0.007
6.9010	, 7.325	, 6.669	, 0.006
7.0010	, 7.099	, 6.371	, 0.006
7.1010	, 6.875	, 6.084	, 0.005
7.2010	, 6.655	, 5.807	, 0.005
7.3010	, 6.508	, 5.600	, 0.005
7.4010	, 6.396	, 5.430	, 0.005
7.5010	, 6.264	, 5.247	, 0.004
7.6010	, 6.115	, 5.055	, 0.004
7.7010	, 5.954	, 4.858	, 0.004
7.8010	, 5.946	, 4.789	, 0.004
7.9010	, 5.993	, 4.766	, 0.004
8.0010	, 6.036	, 4.740	, 0.004
8.1010	, 6.069	, 4.707	, 0.004
8.2010	, 6.085	, 4.662	, 0.004
8.3010	, 6.079	, 4.601	, 0.004
8.4010	, 6.049	, 4.524	, 0.003
8.5010	, 5.993	, 4.430	, 0.003
8.6010	, 5.911	, 4.318	, 0.003
8.7010	, 5.823	, 4.205	, 0.003
8.8010	, 5.799	, 4.140	, 0.003
8.9010	, 5.762	, 4.067	, 0.003
9.0010	, 5.714	, 3.988	, 0.003
9.1010	, 5.655	, 3.904	, 0.003
9.2010	, 5.587	, 3.815	, 0.003
9.3010	, 5.511	, 3.723	, 0.003
9.4010	, 5.553	, 3.712	, 0.003
9.5010	, 5.657	, 3.741	, 0.003
9.6010	, 5.754	, 3.766	, 0.003
9.7010	, 5.842	, 3.784	, 0.002
9.8010	, 5.922	, 3.797	, 0.002
9.9010	, 5.992	, 3.803	, 0.002
 
acceleration, velocity, displacement and normalized Arias intensity time histories:
 
time [s]	accel. [g]	vel. [cm/s]	displ. [cm]	AI
0.000	0.0026959	0.0000000	0.0000000	0.0000000
0.002	0.0026996	0.0063517	0.0000076	0.0000005
0.005	0.0027033	0.0127120	0.0000305	0.0000009
0.007	0.0027074	0.0190815	0.0000687	0.0000014
0.010	0.0027113	0.0254604	0.0001221	0.0000019
0.012	0.0027157	0.0318491	0.0001909	0.0000024
0.014	0.0027204	0.0382484	0.0002750	0.0000028
0.017	0.0027258	0.0446596	0.0003745	0.0000033
0.019	0.0027317	0.0510840	0.0004894	0.0000038
0.022	0.0027382	0.0575231	0.0006197	0.0000043
0.024	0.0027453	0.0639782	0.0007655	0.0000047
0.026	0.0027528	0.0704505	0.0009268	0.0000052
0.029	0.0027604	0.0769405	0.0011037	0.0000057
0.031	0.0027684	0.0834489	0.0012962	0.0000062
0.034	0.0027771	0.0899771	0.0015043	0.0000067
0.036	0.0027864	0.0965266	0.0017281	0.0000072
0.038	0.0027963	0.1030985	0.0019676	0.0000077
0.041	0.0028060	0.1096935	0.0022230	0.0000082
0.043	0.0028157	0.1163113	0.0024942	0.0000087
0.046	0.0028255	0.1229521	0.0027813	0.0000092
0.048	0.0028350	0.1296156	0.0030844	0.0000097
0.050	0.0028452	0.1363023	0.0034035	0.0000103
0.053	0.0028551	0.1430127	0.0037387	0.0000108
0.055	0.0028659	0.1497475	0.0040900	0.0000113
0.058	0.0028765	0.1565074	0.0044575	0.0000118
0.060	0.0028882	0.1632937	0.0048412	0.0000124
0.062	0.0028997	0.1701071	0.0052413	0.0000129
0.065	0.0029109	0.1769474	0.0056578	0.0000134
0.067	0.0029218	0.1838137	0.0060907	0.0000140
0.070	0.0029325	0.1907055	0.0065401	0.0000145
0.072	0.0029411	0.1976199	0.0070061	0.0000151
0.074	0.0029476	0.2045521	0.0074887	0.0000156
0.077	0.0029517	0.2114969	0.0079880	0.0000162
0.079	0.0029527	0.2184476	0.0085039	0.0000168
0.082	0.0029512	0.2253977	0.0090365	0.0000173
0.084	0.0029470	0.2323411	0.0095858	0.0000179
0.086	0.0029384	0.2392695	0.0101517	0.0000184
0.089	0.0029277	0.2461750	0.0107343	0.0000190
0.091	0.0029122	0.2530498	0.0113333	0.0000195
0.094	0.0028940	0.2598848	0.0119489	0.0000201
0.096	0.0028729	0.2666736	0.0125807	0.0000206
0.098	0.0028491	0.2734096	0.0132288	0.0000211
0.101	0.0028257	0.2800899	0.0138930	0.0000217
0.103	0.0028024	0.2867152	0.0145732	0.0000222
0.106	0.0027808	0.2932877	0.0152692	0.0000227
0.108	0.0027588	0.2998090	0.0159809	0.0000232
0.110	0.0027351	0.3062764	0.0167082	0.0000236
0.113	0.0027118	0.3126884	0.0174510	0.0000241
0.115	0.0026883	0.3190454	0.0182091	0.0000246
0.118	0.0026670	0.3253496	0.0189823	0.0000250
0.120	0.0026502	0.3316090	0.0197707	0.0000255
0.122	0.0026370	0.3378331	0.0205740	0.0000260
0.125	0.0026290	0.3440322	0.0213922	0.0000264
0.127	0.0026303	0.3502234	0.0222254	0.0000268
0.130	0.0026378	0.3564251	0.0230733	0.0000273
0.132	0.0026529	0.3626533	0.0239362	0.0000277
0.134	0.0026753	0.3689256	0.0248141	0.0000282
0.137	0.0027044	0.3752586	0.0257071	0.0000287
0.139	0.0027408	0.3816687	0.0266155	0.0000291
0.142	0.0027838	0.3881722	0.0275393	0.0000296
0.144	0.0028299	0.3947806	0.0284788	0.0000301
0.146	0.0028806	0.4015029	0.0294343	0.0000307
0.149	0.0029368	0.4083511	0.0304062	0.0000312
0.151	0.0029895	0.4153275	0.0313946	0.0000318
0.154	0.0030415	0.4224272	0.0323999	0.0000323
0.156	0.0030919	0.4296473	0.0334224	0.0000329
0.158	0.0031401	0.4369836	0.0344623	0.0000336
0.161	0.0031786	0.4444219	0.0355200	0.0000342
0.163	0.0032066	0.4519386	0.0365957	0.0000349
0.166	0.0032238	0.4595084	0.0376894	0.0000355
0.168	0.0032288	0.4671044	0.0388013	0.0000362
0.170	0.0032197	0.4746956	0.0399315	0.0000369
0.173	0.0032006	0.4822535	0.0410798	0.0000375
0.175	0.0031709	0.4897541	0.0422462	0.0000382
0.178	0.0031306	0.4971723	0.0434306	0.0000388
0.180	0.0030843	0.5044885	0.0446325	0.0000394
0.182	0.0030319	0.5116884	0.0458520	0.0000400
0.185	0.0029722	0.5187564	0.0470885	0.0000406
0.187	0.0029130	0.5256845	0.0483418	0.0000412
0.190	0.0028515	0.5324705	0.0496116	0.0000417
0.192	0.0027912	0.5391130	0.0508975	0.0000422
0.194	0.0027289	0.5456113	0.0521992	0.0000427
0.197	0.0026717	0.5519689	0.0535163	0.0000432
