 
PGA:,  0.29 g
PGV:,  21.60 cm/s
PGD:,  2.84 cm
Arias Intensity:,  80.57 cm/s
Significant duration:,   5.22 s
 
 
Damping ratio for spectra:  0.05

 
period [s]	SD. [cm]	PSV [cm/s]	PSA [g]
0.0010	, 0.000	, 0.045	, 0.290
0.1010	, 0.172	, 10.728	, 0.680
0.2010	, 0.895	, 27.972	, 0.891
0.3010	, 1.600	, 33.395	, 0.711
0.4010	, 2.235	, 35.018	, 0.559
0.5010	, 2.918	, 36.589	, 0.468
0.6010	, 3.370	, 35.236	, 0.376
0.7010	, 4.781	, 42.849	, 0.392
0.8010	, 6.602	, 51.785	, 0.414
0.9010	, 8.210	, 57.250	, 0.407
1.0010	, 8.474	, 53.192	, 0.340
1.1010	, 9.189	, 52.437	, 0.305
1.2010	, 8.816	, 46.122	, 0.246
1.3010	, 7.422	, 35.844	, 0.176
1.4010	, 7.275	, 32.628	, 0.149
1.5010	, 6.914	, 28.942	, 0.123
1.6010	, 6.614	, 25.958	, 0.104
1.7010	, 6.329	, 23.379	, 0.088
1.8010	, 5.875	, 20.497	, 0.073
1.9010	, 5.324	, 17.598	, 0.059
2.0010	, 4.738	, 14.877	, 0.048
2.1010	, 4.615	, 13.803	, 0.042
2.2010	, 4.477	, 12.782	, 0.037
2.3010	, 4.306	, 11.758	, 0.033
2.4010	, 4.113	, 10.763	, 0.029
2.5010	, 3.910	, 9.823	, 0.025
2.6010	, 3.705	, 8.950	, 0.022
2.7010	, 3.505	, 8.154	, 0.019
2.8010	, 3.315	, 7.436	, 0.017
2.9010	, 3.136	, 6.792	, 0.015
3.0010	, 2.971	, 6.221	, 0.013
3.1010	, 2.821	, 5.716	, 0.012
3.2010	, 2.686	, 5.271	, 0.011
3.3010	, 2.717	, 5.171	, 0.010
3.4010	, 2.731	, 5.045	, 0.010
3.5010	, 2.724	, 4.889	, 0.009
3.6010	, 2.700	, 4.711	, 0.008
3.7010	, 2.662	, 4.519	, 0.008
3.8010	, 2.679	, 4.429	, 0.007
3.9010	, 2.745	, 4.421	, 0.007
4.0010	, 2.807	, 4.407	, 0.007
4.1010	, 2.864	, 4.387	, 0.007
4.2010	, 2.916	, 4.361	, 0.007
4.3010	, 2.963	, 4.329	, 0.006
4.4010	, 3.006	, 4.292	, 0.006
4.5010	, 3.044	, 4.250	, 0.006
4.6010	, 3.078	, 4.203	, 0.006
4.7010	, 3.108	, 4.153	, 0.006
4.8010	, 3.133	, 4.100	, 0.005
4.9010	, 3.155	, 4.045	, 0.005
5.0010	, 3.173	, 3.987	, 0.005
5.1010	, 3.189	, 3.928	, 0.005
5.2010	, 3.201	, 3.867	, 0.005
5.3010	, 3.211	, 3.806	, 0.005
5.4010	, 3.218	, 3.744	, 0.004
5.5010	, 3.224	, 3.682	, 0.004
5.6010	, 3.227	, 3.620	, 0.004
5.7010	, 3.228	, 3.558	, 0.004
5.8010	, 3.228	, 3.496	, 0.004
5.9010	, 3.226	, 3.435	, 0.004
6.0010	, 3.223	, 3.375	, 0.004
6.1010	, 3.219	, 3.315	, 0.003
6.2010	, 3.214	, 3.256	, 0.003
6.3010	, 3.207	, 3.198	, 0.003
6.4010	, 3.200	, 3.142	, 0.003
6.5010	, 3.193	, 3.086	, 0.003
6.6010	, 3.184	, 3.031	, 0.003
6.7010	, 3.175	, 2.977	, 0.003
6.8010	, 3.166	, 2.925	, 0.003
6.9010	, 3.156	, 2.874	, 0.003
7.0010	, 3.146	, 2.824	, 0.003
7.1010	, 3.136	, 2.775	, 0.003
7.2010	, 3.125	, 2.727	, 0.002
7.3010	, 3.114	, 2.680	, 0.002
7.4010	, 3.103	, 2.634	, 0.002
7.5010	, 3.092	, 2.590	, 0.002
7.6010	, 3.080	, 2.546	, 0.002
7.7010	, 3.069	, 2.504	, 0.002
7.8010	, 3.058	, 2.463	, 0.002
7.9010	, 3.046	, 2.422	, 0.002
8.0010	, 3.035	, 2.383	, 0.002
8.1010	, 3.023	, 2.345	, 0.002
8.2010	, 3.012	, 2.307	, 0.002
8.3010	, 3.000	, 2.271	, 0.002
8.4010	, 2.989	, 2.236	, 0.002
8.5010	, 2.978	, 2.201	, 0.002
8.6010	, 2.967	, 2.167	, 0.002
8.7010	, 2.956	, 2.135	, 0.002
8.8010	, 2.945	, 2.102	, 0.002
8.9010	, 2.934	, 2.071	, 0.001
9.0010	, 2.924	, 2.041	, 0.001
9.1010	, 2.913	, 2.011	, 0.001
9.2010	, 2.903	, 1.982	, 0.001
9.3010	, 2.892	, 1.954	, 0.001
9.4010	, 2.882	, 1.926	, 0.001
9.5010	, 2.872	, 1.899	, 0.001
9.6010	, 2.862	, 1.873	, 0.001
9.7010	, 2.852	, 1.847	, 0.001
9.8010	, 2.843	, 1.822	, 0.001
9.9010	, 2.833	, 1.798	, 0.001
 
acceleration, velocity, displacement and normalized Arias intensity time histories:
 
time [s]	accel. [g]	vel. [cm/s]	displ. [cm]	AI
0.000	0.0005430	0.0000000	0.0000000	0.0000000
0.005	0.0005572	0.0026982	0.0000067	0.0000000
0.010	0.0005545	0.0054246	0.0000271	0.0000001
0.015	0.0005329	0.0080915	0.0000608	0.0000001
0.020	0.0005019	0.0106295	0.0001076	0.0000001
0.025	0.0004591	0.0129863	0.0001667	0.0000001
0.030	0.0004229	0.0151494	0.0002370	0.0000002
0.035	0.0003797	0.0171178	0.0003177	0.0000002
0.040	0.0003420	0.0188876	0.0004077	0.0000002
0.045	0.0003503	0.0205853	0.0005064	0.0000002
0.050	0.0003898	0.0224002	0.0006139	0.0000002
0.055	0.0004092	0.0243597	0.0007308	0.0000002
0.060	0.0004450	0.0264548	0.0008578	0.0000002
0.065	0.0004833	0.0287317	0.0009958	0.0000003
0.070	0.0005086	0.0311644	0.0011455	0.0000003
0.075	0.0005417	0.0337403	0.0013078	0.0000003
0.080	0.0005486	0.0364143	0.0014831	0.0000003
0.085	0.0006047	0.0392428	0.0016723	0.0000004
0.090	0.0006674	0.0423626	0.0018763	0.0000004
0.095	0.0007098	0.0457403	0.0020966	0.0000005
0.100	0.0007982	0.0494387	0.0023345	0.0000005
0.105	0.0009051	0.0536159	0.0025921	0.0000006
0.110	0.0008804	0.0579947	0.0028712	0.0000007
0.115	0.0007956	0.0621051	0.0031714	0.0000007
0.120	0.0006296	0.0656005	0.0034907	0.0000008
0.125	0.0005020	0.0683757	0.0038256	0.0000008
0.130	0.0003206	0.0703930	0.0041725	0.0000008
0.135	0.0002246	0.0717301	0.0045278	0.0000008
0.140	0.0001078	0.0725451	0.0048885	0.0000008
0.145	0.0000622	0.0729620	0.0052523	0.0000008
0.150	0.0000379	0.0732076	0.0056177	0.0000008
0.155	-0.0000020	0.0732955	0.0059840	0.0000008
0.160	-0.0001799	0.0728492	0.0063493	0.0000008
0.165	-0.0004963	0.0711908	0.0067094	0.0000008
0.170	-0.0008015	0.0680081	0.0070574	0.0000009
0.175	-0.0009890	0.0636169	0.0073865	0.0000010
0.180	-0.0010076	0.0587203	0.0076924	0.0000011
0.185	-0.0007187	0.0544865	0.0079754	0.0000011
0.190	-0.0001642	0.0523211	0.0082424	0.0000012
0.195	0.0006159	0.0534289	0.0085068	0.0000012
0.200	0.0014068	0.0583897	0.0087863	0.0000013
0.205	0.0020585	0.0668884	0.0090995	0.0000016
0.210	0.0023965	0.0778143	0.0094613	0.0000021
0.215	0.0023975	0.0895714	0.0098797	0.0000026
0.220	0.0019520	0.1002386	0.0103543	0.0000031
0.225	0.0015070	0.1087220	0.0108767	0.0000034
0.230	0.0011055	0.1151290	0.0114363	0.0000035
0.235	0.0006907	0.1195341	0.0120229	0.0000036
0.240	0.0005520	0.1225818	0.0126282	0.0000036
0.245	0.0005662	0.1253242	0.0132480	0.0000037
0.250	0.0004352	0.1277800	0.0138808	0.0000037
0.255	0.0001926	0.1293197	0.0145235	0.0000037
0.260	-0.0001640	0.1293900	0.0151703	0.0000037
0.265	-0.0006140	0.1274820	0.0158125	0.0000037
0.270	-0.0010789	0.1233301	0.0164395	0.0000038
0.275	-0.0014527	0.1171215	0.0170406	0.0000040
0.280	-0.0016939	0.1094045	0.0176069	0.0000042
0.285	-0.0011798	0.1023566	0.0181363	0.0000044
