 
PGA:,  0.20 g
PGV:,  8.34 cm/s
PGD:,  0.72 cm
Arias Intensity:,  28.79 cm/s
Significant duration:,   8.25 s
 
 
Damping ratio for spectra:  0.05

 
period [s]	SD. [cm]	PSV [cm/s]	PSA [g]
0.0010	, 0.000	, 0.032	, 0.204
0.1010	, 0.109	, 6.795	, 0.431
0.2010	, 0.630	, 19.704	, 0.628
0.3010	, 1.176	, 24.555	, 0.522
0.4010	, 1.425	, 22.322	, 0.357
0.5010	, 1.563	, 19.597	, 0.251
0.6010	, 1.975	, 20.651	, 0.220
0.7010	, 1.353	, 12.123	, 0.111
0.8010	, 1.640	, 12.861	, 0.103
0.9010	, 1.710	, 11.924	, 0.085
1.0010	, 1.577	, 9.901	, 0.063
1.1010	, 1.828	, 10.433	, 0.061
1.2010	, 1.844	, 9.649	, 0.051
1.3010	, 1.750	, 8.451	, 0.042
1.4010	, 2.021	, 9.062	, 0.041
1.5010	, 1.776	, 7.434	, 0.032
1.6010	, 1.619	, 6.355	, 0.025
1.7010	, 1.674	, 6.182	, 0.023
1.8010	, 1.866	, 6.511	, 0.023
1.9010	, 1.884	, 6.228	, 0.021
2.0010	, 1.802	, 5.659	, 0.018
2.1010	, 1.834	, 5.485	, 0.017
2.2010	, 1.746	, 4.985	, 0.015
2.3010	, 1.717	, 4.689	, 0.013
2.4010	, 1.700	, 4.449	, 0.012
2.5010	, 1.620	, 4.070	, 0.010
2.6010	, 1.507	, 3.641	, 0.009
2.7010	, 1.386	, 3.224	, 0.008
2.8010	, 1.273	, 2.855	, 0.007
2.9010	, 1.197	, 2.591	, 0.006
3.0010	, 1.173	, 2.456	, 0.005
3.1010	, 1.133	, 2.296	, 0.005
3.2010	, 1.057	, 2.074	, 0.004
3.3010	, 1.057	, 2.011	, 0.004
3.4010	, 1.024	, 1.892	, 0.004
3.5010	, 1.000	, 1.796	, 0.003
3.6010	, 0.986	, 1.721	, 0.003
3.7010	, 0.973	, 1.652	, 0.003
3.8010	, 0.960	, 1.587	, 0.003
3.9010	, 0.947	, 1.525	, 0.003
4.0010	, 0.933	, 1.465	, 0.002
4.1010	, 0.919	, 1.408	, 0.002
4.2010	, 0.904	, 1.352	, 0.002
4.3010	, 0.890	, 1.299	, 0.002
4.4010	, 0.906	, 1.294	, 0.002
4.5010	, 0.916	, 1.278	, 0.002
4.6010	, 0.917	, 1.252	, 0.002
4.7010	, 0.910	, 1.216	, 0.002
4.8010	, 0.896	, 1.172	, 0.002
4.9010	, 0.875	, 1.121	, 0.001
5.0010	, 0.849	, 1.067	, 0.001
5.1010	, 0.821	, 1.011	, 0.001
5.2010	, 0.791	, 0.956	, 0.001
5.3010	, 0.769	, 0.911	, 0.001
5.4010	, 0.770	, 0.896	, 0.001
5.5010	, 0.771	, 0.881	, 0.001
5.6010	, 0.773	, 0.867	, 0.001
5.7010	, 0.774	, 0.853	, 0.001
5.8010	, 0.775	, 0.839	, 0.001
5.9010	, 0.776	, 0.826	, 0.001
6.0010	, 0.777	, 0.813	, 0.001
6.1010	, 0.777	, 0.801	, 0.001
6.2010	, 0.778	, 0.788	, 0.001
6.3010	, 0.779	, 0.777	, 0.001
6.4010	, 0.779	, 0.765	, 0.001
6.5010	, 0.780	, 0.754	, 0.001
6.6010	, 0.780	, 0.742	, 0.001
6.7010	, 0.780	, 0.732	, 0.001
6.8010	, 0.781	, 0.721	, 0.001
6.9010	, 0.781	, 0.711	, 0.001
7.0010	, 0.781	, 0.701	, 0.001
7.1010	, 0.781	, 0.691	, 0.001
7.2010	, 0.781	, 0.681	, 0.001
7.3010	, 0.781	, 0.672	, 0.001
7.4010	, 0.781	, 0.663	, 0.001
7.5010	, 0.780	, 0.654	, 0.001
7.6010	, 0.780	, 0.645	, 0.001
7.7010	, 0.780	, 0.636	, 0.001
7.8010	, 0.780	, 0.628	, 0.001
7.9010	, 0.779	, 0.620	, 0.001
8.0010	, 0.779	, 0.612	, 0.000
8.1010	, 0.779	, 0.604	, 0.000
8.2010	, 0.778	, 0.596	, 0.000
8.3010	, 0.778	, 0.589	, 0.000
8.4010	, 0.777	, 0.581	, 0.000
8.5010	, 0.777	, 0.574	, 0.000
8.6010	, 0.777	, 0.567	, 0.000
8.7010	, 0.776	, 0.560	, 0.000
8.8010	, 0.776	, 0.554	, 0.000
8.9010	, 0.775	, 0.547	, 0.000
9.0010	, 0.775	, 0.541	, 0.000
9.1010	, 0.774	, 0.534	, 0.000
9.2010	, 0.774	, 0.528	, 0.000
9.3010	, 0.773	, 0.522	, 0.000
9.4010	, 0.773	, 0.516	, 0.000
9.5010	, 0.772	, 0.511	, 0.000
9.6010	, 0.772	, 0.505	, 0.000
9.7010	, 0.771	, 0.499	, 0.000
