 
PGA:,  0.37 g
PGV:,  28.97 cm/s
PGD:,  5.66 cm
Arias Intensity:,  157.12 cm/s
Significant duration:,  10.63 s
 
 
Damping ratio for spectra:  0.05

 
period [s]	SD. [cm]	PSV [cm/s]	PSA [g]
0.0010	, 0.000	, 0.058	, 0.372
0.1010	, 0.152	, 9.471	, 0.601
0.2010	, 1.057	, 33.039	, 1.053
0.3010	, 2.053	, 42.864	, 0.912
0.4010	, 2.604	, 40.804	, 0.652
0.5010	, 4.492	, 56.333	, 0.720
0.6010	, 5.283	, 55.235	, 0.589
0.7010	, 7.135	, 63.949	, 0.584
0.8010	, 6.393	, 50.150	, 0.401
0.9010	, 8.455	, 58.962	, 0.419
1.0010	, 8.048	, 50.516	, 0.323
1.1010	, 7.025	, 40.089	, 0.233
1.2010	, 9.412	, 49.239	, 0.263
1.3010	, 8.372	, 40.434	, 0.199
1.4010	, 7.516	, 33.708	, 0.154
1.5010	, 8.585	, 35.938	, 0.153
1.6010	, 10.615	, 41.661	, 0.167
1.7010	, 12.869	, 47.536	, 0.179
1.8010	, 14.541	, 50.729	, 0.180
1.9010	, 15.847	, 52.378	, 0.176
2.0010	, 16.593	, 52.102	, 0.167
2.1010	, 17.760	, 53.112	, 0.162
2.2010	, 19.499	, 55.665	, 0.162
2.3010	, 20.736	, 56.623	, 0.158
2.4010	, 21.131	, 55.298	, 0.148
2.5010	, 20.598	, 51.748	, 0.133
2.6010	, 21.077	, 50.914	, 0.125
2.7010	, 21.070	, 49.013	, 0.116
2.8010	, 20.211	, 45.337	, 0.104
2.9010	, 18.691	, 40.482	, 0.089
3.0010	, 17.011	, 35.617	, 0.076
3.1010	, 15.596	, 31.601	, 0.065
3.2010	, 14.015	, 27.510	, 0.055
3.3010	, 12.427	, 23.653	, 0.046
3.4010	, 11.420	, 21.098	, 0.040
3.5010	, 10.647	, 19.108	, 0.035
3.6010	, 9.835	, 17.160	, 0.031
3.7010	, 9.036	, 15.341	, 0.027
3.8010	, 8.290	, 13.704	, 0.023
3.9010	, 7.935	, 12.780	, 0.021
4.0010	, 7.602	, 11.938	, 0.019
4.1010	, 7.244	, 11.099	, 0.017
4.2010	, 7.322	, 10.951	, 0.017
4.3010	, 7.492	, 10.945	, 0.016
4.4010	, 7.679	, 10.964	, 0.016
4.5010	, 7.861	, 10.974	, 0.016
4.6010	, 8.021	, 10.953	, 0.015
4.7010	, 8.148	, 10.890	, 0.015
4.8010	, 8.237	, 10.780	, 0.014
4.9010	, 8.284	, 10.620	, 0.014
5.0010	, 8.290	, 10.415	, 0.013
5.1010	, 8.256	, 10.169	, 0.013
5.2010	, 8.185	, 9.888	, 0.012
5.3010	, 8.083	, 9.580	, 0.012
5.4010	, 7.952	, 9.251	, 0.011
5.5010	, 7.798	, 8.907	, 0.010
5.6010	, 7.626	, 8.555	, 0.010
5.7010	, 7.440	, 8.199	, 0.009
5.8010	, 7.243	, 7.846	, 0.009
5.9010	, 7.164	, 7.628	, 0.008
6.0010	, 7.255	, 7.596	, 0.008
6.1010	, 7.333	, 7.552	, 0.008
6.2010	, 7.399	, 7.497	, 0.008
6.3010	, 7.453	, 7.432	, 0.008
6.4010	, 7.494	, 7.356	, 0.007
6.5010	, 7.524	, 7.272	, 0.007
6.6010	, 7.542	, 7.179	, 0.007
6.7010	, 7.551	, 7.080	, 0.007
6.8010	, 7.550	, 6.975	, 0.007
6.9010	, 7.540	, 6.865	, 0.006
7.0010	, 7.523	, 6.751	, 0.006
7.1010	, 7.498	, 6.634	, 0.006
7.2010	, 7.466	, 6.515	, 0.006
7.3010	, 7.429	, 6.393	, 0.006
7.4010	, 7.386	, 6.271	, 0.005
7.5010	, 7.339	, 6.148	, 0.005
7.6010	, 7.288	, 6.025	, 0.005
7.7010	, 7.234	, 5.902	, 0.005
7.8010	, 7.177	, 5.780	, 0.005
