 
PGA:,  0.41 g
PGV:,  111.46 cm/s
PGD:,  44.59 cm
Arias Intensity:,  256.96 cm/s
Significant duration:,  12.53 s
 
 
Damping ratio for spectra:  0.05

 
period [s]	SD. [cm]	PSV [cm/s]	PSA [g]
0.0010	, 0.000	, 0.064	, 0.411
0.1010	, 0.116	, 7.221	, 0.458
0.2010	, 0.567	, 17.720	, 0.565
0.3010	, 2.055	, 42.889	, 0.913
0.4010	, 3.864	, 60.547	, 0.967
0.5010	, 4.221	, 52.939	, 0.677
0.6010	, 5.862	, 61.285	, 0.653
0.7010	, 10.606	, 95.063	, 0.869
0.8010	, 15.866	, 124.456	, 0.995
0.9010	, 16.994	, 118.508	, 0.842
1.0010	, 27.492	, 172.567	, 1.104
1.1010	, 27.303	, 155.812	, 0.906
1.2010	, 28.102	, 147.022	, 0.784
1.3010	, 30.691	, 148.223	, 0.730
1.4010	, 32.752	, 146.885	, 0.672
1.5010	, 34.596	, 144.820	, 0.618
1.6010	, 36.448	, 143.043	, 0.572
1.7010	, 38.307	, 141.499	, 0.533
1.8010	, 40.374	, 140.853	, 0.501
1.9010	, 43.506	, 143.796	, 0.484
2.0010	, 47.414	, 148.882	, 0.477
2.1010	, 53.683	, 160.542	, 0.489
2.2010	, 60.124	, 171.636	, 0.499
2.3010	, 65.729	, 179.482	, 0.500
2.4010	, 76.682	, 200.670	, 0.535
2.5010	, 85.609	, 215.073	, 0.551
2.6010	, 93.499	, 225.863	, 0.556
2.7010	, 100.540	, 233.880	, 0.555
2.8010	, 106.271	, 238.387	, 0.545
2.9010	, 109.482	, 237.123	, 0.524
3.0010	, 110.019	, 230.346	, 0.492
3.1010	, 108.343	, 219.523	, 0.453
3.2010	, 105.459	, 207.004	, 0.414
3.3010	, 107.047	, 203.755	, 0.395
3.4010	, 107.281	, 198.197	, 0.373
3.5010	, 106.253	, 190.690	, 0.349
3.6010	, 104.146	, 181.719	, 0.323
3.7010	, 101.277	, 171.939	, 0.298
3.8010	, 97.921	, 161.866	, 0.273
3.9010	, 94.170	, 151.675	, 0.249
4.0010	, 90.029	, 141.382	, 0.226
4.1010	, 85.556	, 131.081	, 0.205
4.2010	, 83.849	, 125.408	, 0.191
4.3010	, 83.171	, 121.502	, 0.181
4.4010	, 82.347	, 117.565	, 0.171
4.5010	, 81.402	, 113.633	, 0.162
