 
PGA:,  0.75 g
PGV:,  77.67 cm/s
PGD:,  11.82 cm
Arias Intensity:,  471.45 cm/s
Significant duration:,   8.21 s
 
 
Damping ratio for spectra:  0.05

 
period [s]	SD. [cm]	PSV [cm/s]	PSA [g]
0.0010	, 0.000	, 0.117	, 0.753
0.1010	, 0.261	, 16.207	, 1.028
0.2010	, 1.546	, 48.334	, 1.540
0.3010	, 2.827	, 59.017	, 1.256
0.4010	, 4.964	, 77.781	, 1.242
0.5010	, 8.872	, 111.266	, 1.422
0.6010	, 15.295	, 159.903	, 1.704
0.7010	, 21.206	, 190.077	, 1.737
0.8010	, 25.095	, 196.847	, 1.574
0.9010	, 27.179	, 189.532	, 1.347
1.0010	, 28.181	, 176.889	, 1.132
1.1010	, 27.568	, 157.326	, 0.915
1.2010	, 27.865	, 145.779	, 0.777
1.3010	, 27.281	, 131.752	, 0.649
1.4010	, 26.391	, 118.356	, 0.541
1.5010	, 25.517	, 106.815	, 0.456
1.6010	, 24.732	, 97.063	, 0.388
1.7010	, 28.431	, 105.019	, 0.395
1.8010	, 29.714	, 103.663	, 0.369
1.9010	, 24.692	, 81.612	, 0.275
2.0010	, 24.645	, 77.385	, 0.248
2.1010	, 24.966	, 74.663	, 0.228
2.2010	, 23.963	, 68.408	, 0.199
2.3010	, 21.525	, 58.778	, 0.164
2.4010	, 20.878	, 54.637	, 0.146
2.5010	, 21.441	, 53.866	, 0.138
2.6010	, 21.942	, 53.006	, 0.131
2.7010	, 22.376	, 52.052	, 0.123
2.8010	, 22.742	, 51.015	, 0.117
2.9010	, 23.044	, 49.911	, 0.110
3.0010	, 23.285	, 48.751	, 0.104
3.1010	, 23.468	, 47.551	, 0.098
3.2010	, 23.601	, 46.325	, 0.093
3.3010	, 23.683	, 45.079	, 0.087
3.4010	, 23.728	, 43.837	, 0.083
3.5010	, 23.734	, 42.595	, 0.078
3.6010	, 23.705	, 41.362	, 0.074
3.7010	, 23.652	, 40.154	, 0.069
3.8010	, 23.573	, 38.966	, 0.066
3.9010	, 23.471	, 37.804	, 0.062
4.0010	, 23.352	, 36.672	, 0.059
4.1010	, 23.220	, 35.576	, 0.056
4.2010	, 23.075	, 34.512	, 0.053
4.3010	, 23.475	, 34.294	, 0.051
4.4010	, 24.081	, 34.380	, 0.050
4.5010	, 24.047	, 33.568	, 0.048
4.6010	, 23.690	, 32.351	, 0.045
4.7010	, 22.539	, 30.125	, 0.041
4.8010	, 22.095	, 28.916	, 0.039
4.9010	, 21.864	, 28.030	, 0.037
5.0010	, 21.680	, 27.239	, 0.035
5.1010	, 21.496	, 26.478	, 0.033
5.2010	, 21.313	, 25.748	, 0.032
5.3010	, 21.131	, 25.046	, 0.030
5.4010	, 20.950	, 24.372	, 0.029
5.5010	, 20.772	, 23.725	, 0.028
5.6010	, 20.595	, 23.104	, 0.026
5.7010	, 20.422	, 22.507	, 0.025
5.8010	, 20.251	, 21.934	, 0.024
5.9010	, 20.083	, 21.384	, 0.023
6.0010	, 19.918	, 20.855	, 0.022
6.1010	, 19.756	, 20.346	, 0.021
6.2010	, 19.598	, 19.858	, 0.021
6.3010	, 19.443	, 19.388	, 0.020
6.4010	, 19.292	, 18.936	, 0.019
6.5010	, 19.143	, 18.502	, 0.018
6.6010	, 18.999	, 18.084	, 0.018
6.7010	, 18.857	, 17.682	, 0.017
6.8010	, 18.719	, 17.294	, 0.016
6.9010	, 18.584	, 16.921	, 0.016
7.0010	, 18.453	, 16.561	, 0.015
7.1010	, 18.324	, 16.214	, 0.015
7.2010	, 18.199	, 15.879	, 0.014
7.3010	, 18.077	, 15.557	, 0.014
7.4010	, 17.958	, 15.245	, 0.013
7.5010	, 17.841	, 14.945	, 0.013
7.6010	, 17.728	, 14.654	, 0.012
7.7010	, 17.617	, 14.374	, 0.012
7.8010	, 17.509	, 14.103	, 0.012
7.9010	, 17.404	, 13.841	, 0.011
8.0010	, 17.302	, 13.587	, 0.011
8.1010	, 17.202	, 13.342	, 0.011
8.2010	, 17.104	, 13.105	, 0.010
8.3010	, 17.009	, 12.875	, 0.010
8.4010	, 16.917	, 12.652	, 0.010
8.5010	, 16.826	, 12.437	, 0.009
8.6010	, 16.738	, 12.228	, 0.009
8.7010	, 16.652	, 12.025	, 0.009
8.8010	, 16.568	, 11.828	, 0.009
8.9010	, 16.487	, 11.638	, 0.008
9.0010	, 16.407	, 11.453	, 0.008
9.1010	, 16.329	, 11.273	, 0.008
9.2010	, 16.253	, 11.099	, 0.008
9.3010	, 16.179	, 10.929	, 0.008
9.4010	, 16.106	, 10.765	, 0.007
9.5010	, 16.036	, 10.605	, 0.007
9.6010	, 15.967	, 10.449	, 0.007
9.7010	, 15.900	, 10.298	, 0.007
9.8010	, 15.834	, 10.151	, 0.007
9.9010	, 15.770	, 10.008	, 0.006
 
acceleration, velocity, displacement and normalized Arias intensity time histories:
 
time [s]	accel. [g]	vel. [cm/s]	displ. [cm]	AI
0.000	0.0000107	0.0000000	0.0000000	0.0000000
0.005	-0.0000030	0.0000186	0.0000000	0.0000000
0.010	-0.0000168	-0.0000300	0.0000000	0.0000000
0.015	-0.0000322	-0.0001502	-0.0000004	0.0000000
0.020	-0.0000394	-0.0003260	-0.0000016	0.0000000
0.025	-0.0000374	-0.0005145	-0.0000037	0.0000000
0.030	-0.0000244	-0.0006660	-0.0000067	0.0000000
0.035	-0.0000136	-0.0007593	-0.0000102	0.0000000
0.040	-0.0000170	-0.0008343	-0.0000142	0.0000000
0.045	-0.0000398	-0.0009735	-0.0000187	0.0000000
0.050	-0.0000690	-0.0012404	-0.0000243	0.0000000
0.055	-0.0001054	-0.0016682	-0.0000315	0.0000000
0.060	-0.0001513	-0.0022978	-0.0000415	0.0000000
0.065	-0.0002104	-0.0031849	-0.0000552	0.0000000
0.070	-0.0002652	-0.0043515	-0.0000740	0.0000000
0.075	-0.0003017	-0.0057420	-0.0000992	0.0000000
0.080	-0.0002990	-0.0072152	-0.0001316	0.0000000
0.085	-0.0002638	-0.0085955	-0.0001712	0.0000000
0.090	-0.0002093	-0.0097558	-0.0002170	0.0000000
0.095	-0.0001728	-0.0106929	-0.0002682	0.0000000
0.100	-0.0001950	-0.0115949	-0.0003239	0.0000000
0.105	-0.0002750	-0.0127474	-0.0003847	0.0000000
0.110	-0.0003459	-0.0142700	-0.0004523	0.0000000
0.115	-0.0003632	-0.0160090	-0.0005280	0.0000000
0.120	-0.0003075	-0.0176541	-0.0006121	0.0000000
0.125	-0.0002002	-0.0188991	-0.0007035	0.0000000
0.130	-0.0000733	-0.0195698	-0.0007997	0.0000000
0.135	0.0000240	-0.0196906	-0.0008978	0.0000000
0.140	0.0000209	-0.0195804	-0.0009960	0.0000000
0.145	-0.0001251	-0.0198360	-0.0010946	0.0000000
0.150	-0.0003168	-0.0209196	-0.0011965	0.0000000
0.155	-0.0004935	-0.0229070	-0.0013060	0.0000000
0.160	-0.0006034	-0.0255973	-0.0014273	0.0000000
0.165	-0.0006070	-0.0285659	-0.0015627	0.0000000
0.170	-0.0005423	-0.0313847	-0.0017126	0.0000000
0.175	-0.0004923	-0.0339222	-0.0018758	0.0000000
0.180	-0.0004551	-0.0362458	-0.0020512	0.0000000
0.185	-0.0004046	-0.0383544	-0.0022377	0.0000000
0.190	-0.0003198	-0.0401311	-0.0024340	0.0000000
0.195	-0.0002054	-0.0414190	-0.0026378	0.0000001
0.200	-0.0000612	-0.0420728	-0.0028466	0.0000001
