 
PGA:,  0.64 g
PGV:,  61.37 cm/s
PGD:,  21.18 cm
Arias Intensity:,  534.26 cm/s
Significant duration:,   8.65 s
 
 
Damping ratio for spectra:  0.05

 
period [s]	SD. [cm]	PSV [cm/s]	PSA [g]
0.0010	, 0.000	, 0.099	, 0.636
0.1010	, 0.203	, 12.641	, 0.802
0.2010	, 1.575	, 49.228	, 1.569
0.3010	, 4.384	, 91.520	, 1.947
0.4010	, 6.475	, 101.458	, 1.621
0.5010	, 10.468	, 131.284	, 1.678
0.6010	, 16.299	, 170.398	, 1.816
0.7010	, 16.599	, 148.782	, 1.359
0.8010	, 14.489	, 113.652	, 0.909
0.9010	, 21.819	, 152.159	, 1.082
1.0010	, 24.854	, 156.007	, 0.998
1.1010	, 24.047	, 137.230	, 0.798
1.2010	, 23.407	, 122.454	, 0.653
1.3010	, 23.561	, 113.787	, 0.560
1.4010	, 19.985	, 89.630	, 0.410
1.5010	, 16.543	, 69.249	, 0.295
1.6010	, 22.252	, 87.328	, 0.349
1.7010	, 30.143	, 111.343	, 0.419
1.8010	, 39.366	, 137.339	, 0.488
1.9010	, 48.794	, 161.274	, 0.543
2.0010	, 48.162	, 151.231	, 0.484
2.1010	, 43.760	, 130.867	, 0.399
2.2010	, 41.903	, 119.620	, 0.348
2.3010	, 43.057	, 117.573	, 0.327
2.4010	, 44.500	, 116.451	, 0.311
2.5010	, 46.841	, 117.676	, 0.301
2.6010	, 48.722	, 117.698	, 0.290
2.7010	, 48.981	, 113.942	, 0.270
2.8010	, 47.869	, 107.379	, 0.246
2.9010	, 45.951	, 99.525	, 0.220
3.0010	, 43.804	, 91.712	, 0.196
3.1010	, 41.796	, 84.686	, 0.175
3.2010	, 40.056	, 78.625	, 0.157
3.3010	, 38.483	, 73.250	, 0.142
3.4010	, 36.881	, 68.136	, 0.128
3.5010	, 35.084	, 62.964	, 0.115
3.6010	, 36.259	, 63.266	, 0.113
3.7010	, 37.653	, 63.923	, 0.111
3.8010	, 38.882	, 64.274	, 0.108
