 
PGA:,  0.60 g
PGV:,  60.43 cm/s
PGD:,  22.71 cm
Arias Intensity:,  412.73 cm/s
Significant duration:,   8.16 s
 
 
Damping ratio for spectra:  0.05

 
period [s]	SD. [cm]	PSV [cm/s]	PSA [g]
0.0010	, 0.000	, 0.094	, 0.602
0.1010	, 0.275	, 17.137	, 1.087
0.2010	, 1.121	, 35.034	, 1.116
0.3010	, 2.288	, 47.756	, 1.016
0.4010	, 4.400	, 68.936	, 1.101
0.5010	, 12.916	, 161.986	, 2.071
0.6010	, 12.735	, 133.136	, 1.419
0.7010	, 13.274	, 118.978	, 1.087
0.8010	, 16.141	, 126.613	, 1.012
0.9010	, 15.006	, 104.646	, 0.744
1.0010	, 25.022	, 157.061	, 1.005
1.1010	, 25.013	, 142.746	, 0.830
1.2010	, 20.193	, 105.645	, 0.563
1.3010	, 19.721	, 95.244	, 0.469
1.4010	, 20.372	, 91.362	, 0.418
1.5010	, 22.145	, 92.699	, 0.396
1.6010	, 22.760	, 89.321	, 0.357
1.7010	, 19.089	, 70.510	, 0.265
1.8010	, 16.410	, 57.249	, 0.204
1.9010	, 15.780	, 52.156	, 0.176
2.0010	, 14.929	, 46.878	, 0.150
2.1010	, 13.913	, 41.607	, 0.127
2.2010	, 13.830	, 39.481	, 0.115
2.3010	, 14.059	, 38.390	, 0.107
2.4010	, 15.190	, 39.749	, 0.106
2.5010	, 16.288	, 40.920	, 0.105
2.6010	, 18.264	, 44.121	, 0.109
2.7010	, 18.816	, 43.770	, 0.104
2.8010	, 18.127	, 40.662	, 0.093
2.9010	, 17.749	, 38.442	, 0.085
3.0010	, 17.047	, 35.692	, 0.076
3.1010	, 16.070	, 32.560	, 0.067
3.2010	, 15.103	, 29.645	, 0.059
3.3010	, 14.559	, 27.713	, 0.054
3.4010	, 14.508	, 26.802	, 0.050
3.5010	, 14.428	, 25.894	, 0.047
3.6010	, 14.327	, 24.999	, 0.044
3.7010	, 14.607	, 24.799	, 0.043
3.8010	, 15.203	, 25.131	, 0.042
3.9010	, 15.803	, 25.453	, 0.042
4.0010	, 16.502	, 25.915	, 0.041
4.1010	, 17.574	, 26.926	, 0.042
4.2010	, 19.051	, 28.494	, 0.043
4.3010	, 20.524	, 29.982	, 0.045
4.4010	, 21.950	, 31.338	, 0.046
4.5010	, 23.299	, 32.524	, 0.046
4.6010	, 24.541	, 33.514	, 0.047
4.7010	, 25.657	, 34.292	, 0.047
4.8010	, 26.632	, 34.854	, 0.046
4.9010	, 27.456	, 35.200	, 0.046
5.0010	, 28.127	, 35.339	, 0.045
5.1010	, 28.646	, 35.284	, 0.044
5.2010	, 29.019	, 35.057	, 0.043
5.3010	, 29.289	, 34.716	, 0.042
5.4010	, 30.917	, 35.967	, 0.043
5.5010	, 32.532	, 37.158	, 0.043
5.6010	, 33.998	, 38.139	, 0.044
5.7010	, 35.308	, 38.914	, 0.044
5.8010	, 36.461	, 39.492	, 0.044
5.9010	, 37.457	, 39.883	, 0.043
6.0010	, 38.297	, 40.098	, 0.043
6.1010	, 38.987	, 40.151	, 0.042
6.2010	, 39.530	, 40.054	, 0.041
6.3010	, 39.933	, 39.821	, 0.040
6.4010	, 40.204	, 39.464	, 0.039
6.5010	, 40.349	, 38.997	, 0.038
6.6010	, 40.375	, 38.431	, 0.037
6.7010	, 40.292	, 37.780	, 0.036
6.8010	, 40.298	, 37.230	, 0.035
6.9010	, 40.203	, 36.604	, 0.034
7.0010	, 39.923	, 35.830	, 0.033
7.1010	, 39.496	, 34.947	, 0.032
7.2010	, 38.964	, 33.997	, 0.030
7.3010	, 38.319	, 32.977	, 0.029
7.4010	, 37.577	, 31.901	, 0.028
