 
PGA:,  0.05 g
PGV:,  2.68 cm/s
PGD:,  1.55 cm
Arias Intensity:,   1.77 cm/s
Significant duration:,  16.89 s
 
 
Damping ratio for spectra:  0.05

 
period [s]	SD. [cm]	PSV [cm/s]	PSA [g]
0.0010	, 0.000	, 0.007	, 0.048
0.1010	, 0.020	, 1.258	, 0.080
0.2010	, 0.081	, 2.519	, 0.080
0.3010	, 0.118	, 2.474	, 0.053
0.4010	, 0.186	, 2.908	, 0.046
0.5010	, 0.253	, 3.173	, 0.041
0.6010	, 0.324	, 3.386	, 0.036
0.7010	, 0.307	, 2.752	, 0.025
0.8010	, 0.287	, 2.255	, 0.018
0.9010	, 0.612	, 4.270	, 0.030
1.0010	, 0.934	, 5.863	, 0.038
1.1010	, 1.074	, 6.132	, 0.036
1.2010	, 1.016	, 5.318	, 0.028
1.3010	, 0.871	, 4.208	, 0.021
1.4010	, 0.798	, 3.577	, 0.016
1.5010	, 0.846	, 3.543	, 0.015
1.6010	, 0.889	, 3.489	, 0.014
1.7010	, 1.054	, 3.892	, 0.015
1.8010	, 1.170	, 4.082	, 0.015
1.9010	, 1.141	, 3.773	, 0.013
2.0010	, 1.266	, 3.974	, 0.013
2.1010	, 1.388	, 4.151	, 0.013
2.2010	, 1.599	, 4.564	, 0.013
2.3010	, 1.847	, 5.043	, 0.014
2.4010	, 2.333	, 6.106	, 0.016
2.5010	, 2.827	, 7.103	, 0.018
2.6010	, 3.299	, 7.969	, 0.020
2.7010	, 3.695	, 8.596	, 0.020
2.8010	, 4.007	, 8.990	, 0.021
2.9010	, 4.239	, 9.181	, 0.020
3.0010	, 4.371	, 9.151	, 0.020
3.1010	, 4.438	, 8.992	, 0.019
3.2010	, 4.440	, 8.716	, 0.017
3.3010	, 4.473	, 8.514	, 0.017
3.4010	, 4.555	, 8.415	, 0.016
3.5010	, 4.598	, 8.251	, 0.015
3.6010	, 4.604	, 8.034	, 0.014
3.7010	, 4.585	, 7.784	, 0.013
3.8010	, 4.542	, 7.508	, 0.013
3.9010	, 4.479	, 7.215	, 0.012
4.0010	, 4.395	, 6.902	, 0.011
4.1010	, 4.282	, 6.561	, 0.010
4.2010	, 4.147	, 6.203	, 0.009
4.3010	, 3.993	, 5.833	, 0.009
4.4010	, 3.833	, 5.472	, 0.008
4.5010	, 3.664	, 5.115	, 0.007
4.6010	, 3.492	, 4.769	, 0.007
4.7010	, 3.347	, 4.473	, 0.006
4.8010	, 3.333	, 4.362	, 0.006
4.9010	, 3.315	, 4.249	, 0.006
5.0010	, 3.293	, 4.137	, 0.005
5.1010	, 3.270	, 4.028	, 0.005
5.2010	, 3.242	, 3.916	, 0.005
5.3010	, 3.210	, 3.804	, 0.005
5.4010	, 3.174	, 3.692	, 0.004
5.5010	, 3.136	, 3.581	, 0.004
5.6010	, 3.096	, 3.473	, 0.004
5.7010	, 3.056	, 3.368	, 0.004
5.8010	, 3.015	, 3.266	, 0.004
5.9010	, 2.974	, 3.167	, 0.003
6.0010	, 2.932	, 3.070	, 0.003
6.1010	, 2.891	, 2.977	, 0.003
6.2010	, 2.849	, 2.886	, 0.003
6.3010	, 2.807	, 2.799	, 0.003
6.4010	, 2.766	, 2.715	, 0.003
6.5010	, 2.726	, 2.634	, 0.003
6.6010	, 2.686	, 2.556	, 0.002
6.7010	, 2.647	, 2.482	, 0.002
6.8010	, 2.608	, 2.410	, 0.002
6.9010	, 2.571	, 2.340	, 0.002
7.0010	, 2.534	, 2.274	, 0.002
7.1010	, 2.498	, 2.210	, 0.002
7.2010	, 2.463	, 2.149	, 0.002
7.3010	, 2.429	, 2.090	, 0.002
7.4010	, 2.396	, 2.034	, 0.002
7.5010	, 2.363	, 1.980	, 0.002
7.6010	, 2.332	, 1.928	, 0.002
7.7010	, 2.302	, 1.878	, 0.002
