 
PGA:,  0.30 g
PGV:,  17.76 cm/s
PGD:,  1.36 cm
Arias Intensity:,  43.82 cm/s
Significant duration:,   6.60 s
 
 
Damping ratio for spectra:  0.05

 
period [s]	SD. [cm]	PSV [cm/s]	PSA [g]
0.0010	, 0.000	, 0.048	, 0.304
0.1010	, 0.118	, 7.363	, 0.467
0.2010	, 0.778	, 24.306	, 0.775
0.3010	, 0.989	, 20.645	, 0.439
0.4010	, 1.750	, 27.422	, 0.438
0.5010	, 3.344	, 41.938	, 0.536
0.6010	, 4.357	, 45.546	, 0.485
0.7010	, 3.935	, 35.271	, 0.322
0.8010	, 2.999	, 23.525	, 0.188
0.9010	, 2.136	, 14.893	, 0.106
1.0010	, 1.835	, 11.520	, 0.074
1.1010	, 1.803	, 10.289	, 0.060
1.2010	, 2.103	, 11.004	, 0.059
1.3010	, 2.277	, 10.995	, 0.054
1.4010	, 2.178	, 9.768	, 0.045
1.5010	, 2.250	, 9.418	, 0.040
1.6010	, 2.275	, 8.929	, 0.036
1.7010	, 2.262	, 8.356	, 0.031
1.8010	, 2.313	, 8.071	, 0.029
1.9010	, 2.331	, 7.704	, 0.026
2.0010	, 2.327	, 7.306	, 0.023
2.1010	, 2.309	, 6.906	, 0.021
2.2010	, 2.285	, 6.522	, 0.019
2.3010	, 2.255	, 6.157	, 0.017
2.4010	, 2.223	, 5.818	, 0.016
2.5010	, 2.191	, 5.503	, 0.014
2.6010	, 2.157	, 5.211	, 0.013
2.7010	, 2.123	, 4.940	, 0.012
2.8010	, 2.090	, 4.688	, 0.011
2.9010	, 2.057	, 4.456	, 0.010
3.0010	, 2.025	, 4.240	, 0.009
3.1010	, 1.994	, 4.039	, 0.008
3.2010	, 1.963	, 3.853	, 0.008
3.3010	, 1.933	, 3.679	, 0.007
3.4010	, 1.904	, 3.518	, 0.007
3.5010	, 1.877	, 3.368	, 0.006
3.6010	, 1.850	, 3.228	, 0.006
3.7010	, 1.824	, 3.097	, 0.005
3.8010	, 1.800	, 2.975	, 0.005
3.9010	, 1.776	, 2.861	, 0.005
4.0010	, 1.754	, 2.754	, 0.004
4.1010	, 1.732	, 2.654	, 0.004
4.2010	, 1.712	, 2.561	, 0.004
4.3010	, 1.693	, 2.473	, 0.004
4.4010	, 1.674	, 2.390	, 0.003
4.5010	, 1.656	, 2.312	, 0.003
