horizontal_1_filename,dt_sequence_horizontal1,npt_sequence_horizontal1,dt_mainshock_horizontal1,npt_mainshock_horizontal1,dt_aftershock_horizontal1,npt_aftershock_horizontal1,rsn_mainshock_horizontal1,rsn_aftershock_horizontal1,mainshock_aferchock_horizontal2,horizontal_2_filename,dt_sequence_horizontal2,npt_sequence_horizontal2,dt_mainshock_horizontal2,npt_mainshock_horizontal2,dt_aftershock_horizontal2,npt_aftershock_horizontal2,rsn_mainshock_horizontal2,rsn_aftershock_horizontal2
1003.0_3716.0_01.g3,0.005,11124,0.01,3159,0.005,4006,1003,3716,Q:\My Drive\PhD Program\Research\Thesis\Analysis Methods\Groundmotions\Sequences\1003.0_3716.0_02.g3,1003.0_3716.0_02.g3,0.005,11126,0.01,3159,0.005,4008,1003,3716
1024.0_3722.0_01.g3,0.005,12672,0.01,3536,0.005,4800,1024,3722,Q:\My Drive\PhD Program\Research\Thesis\Analysis Methods\Groundmotions\Sequences\1024.0_3722.0_02.g3,1024.0_3722.0_02.g3,0.005,12665,0.01,3536,0.005,4793,1024,3722
1086.0_3767.0_01.g3,0.01,8400,0.02,2000,0.01,4000,1086,3767,Q:\My Drive\PhD Program\Research\Thesis\Analysis Methods\Groundmotions\Sequences\1086.0_3767.0_02.g3,1086.0_3767.0_02.g3,0.01,8400,0.02,2000,0.01,4000,1086,3767
1206.0_2712.0_01.g3,0.005,31612,0.005,18000,0.005,12812,1206,2712,Q:\My Drive\PhD Program\Research\Thesis\Analysis Methods\Groundmotions\Sequences\1206.0_2712.0_02.g3,1206.0_2712.0_02.g3,0.005,31612,0.005,18000,0.005,12812,1206,2712
1208.0_2714.0_01.g3,0.005,40800,0.005,18000,0.005,22000,1208,2714,Q:\My Drive\PhD Program\Research\Thesis\Analysis Methods\Groundmotions\Sequences\1208.0_2714.0_02.g3,1208.0_2714.0_02.g3,0.005,40800,0.005,18000,0.005,22000,1208,2714
1208.0_3281.0_01.g3,0.005,35997,0.005,18000,0.005,17197,1208,3281,Q:\My Drive\PhD Program\Research\Thesis\Analysis Methods\Groundmotions\Sequences\1208.0_3281.0_02.g3,1208.0_3281.0_02.g3,0.005,35997,0.005,18000,0.005,17197,1208,3281
1240.0_3313.0_01.g3,0.004,71000,0.004,37500,0.004,32500,1240,3313,Q:\My Drive\PhD Program\Research\Thesis\Analysis Methods\Groundmotions\Sequences\1240.0_3313.0_02.g3,1240.0_3313.0_02.g3,0.004,71000,0.004,37500,0.004,32500,1240,3313
1270.0_3008.0_01.g3,0.005,32399,0.005,17800,0.005,13799,1270,3008,Q:\My Drive\PhD Program\Research\Thesis\Analysis Methods\Groundmotions\Sequences\1270.0_3008.0_02.g3,1270.0_3008.0_02.g3,0.005,32399,0.005,17800,0.005,13799,1270,3008
1278.0_3016.0_01.g3,0.005,31800,0.005,17401,0.005,13599,1278,3016,Q:\My Drive\PhD Program\Research\Thesis\Analysis Methods\Groundmotions\Sequences\1278.0_3016.0_02.g3,1278.0_3016.0_02.g3,0.005,31800,0.005,17401,0.005,13599,1278,3016
1281.0_3019.0_01.g3,0.005,34199,0.005,18000,0.005,15399,1281,3019,Q:\My Drive\PhD Program\Research\Thesis\Analysis Methods\Groundmotions\Sequences\1281.0_3019.0_02.g3,1281.0_3019.0_02.g3,0.005,34199,0.005,18000,0.005,15399,1281,3019
1284.0_3022.0_01.g3,0.005,32799,0.005,18000,0.005,13999,1284,3022,Q:\My Drive\PhD Program\Research\Thesis\Analysis Methods\Groundmotions\Sequences\1284.0_3022.0_02.g3,1284.0_3022.0_02.g3,0.005,32799,0.005,18000,0.005,13999,1284,3022
1287.0_3025.0_01.g3,0.005,33198,0.005,18000,0.005,14398,1287,3025,Q:\My Drive\PhD Program\Research\Thesis\Analysis Methods\Groundmotions\Sequences\1287.0_3025.0_02.g3,1287.0_3025.0_02.g3,0.005,33198,0.005,18000,0.005,14398,1287,3025
1295.0_3033.0_01.g3,0.004,46500,0.004,22500,0.004,23000,1295,3033,Q:\My Drive\PhD Program\Research\Thesis\Analysis Methods\Groundmotions\Sequences\1295.0_3033.0_02.g3,1295.0_3033.0_02.g3,0.004,46500,0.004,22500,0.004,23000,1295,3033
1553.0_3222.0_01.g3,0.004,63500,0.004,37500,0.004,25000,1553,3222,Q:\My Drive\PhD Program\Research\Thesis\Analysis Methods\Groundmotions\Sequences\1553.0_3222.0_02.g3,1553.0_3222.0_02.g3,0.004,63500,0.004,37500,0.004,25000,1553,3222
1553.0_3512.0_01.g3,0.004,72500,0.004,37500,0.004,34000,1553,3512,Q:\My Drive\PhD Program\Research\Thesis\Analysis Methods\Groundmotions\Sequences\1553.0_3512.0_02.g3,1553.0_3512.0_02.g3,0.004,72500,0.004,37500,0.004,34000,1553,3512
214.0_223.0_01.g3,0.005,9333,0.005,4196,0.005,4337,214,223,Q:\My Drive\PhD Program\Research\Thesis\Analysis Methods\Groundmotions\Sequences\214.0_223.0_02.g3,214.0_223.0_02.g3,0.005,9333,0.005,4196,0.005,4337,214,223
215.0_224.0_01.g3,0.005,16797,0.005,7998,0.005,7999,215,224,Q:\My Drive\PhD Program\Research\Thesis\Analysis Methods\Groundmotions\Sequences\215.0_224.0_02.g3,215.0_224.0_02.g3,0.005,16797,0.005,7999,0.005,7998,215,224
231.0_243.0_01.g3,0.005,14799,0.005,5999,0.005,8000,231,243,Q:\My Drive\PhD Program\Research\Thesis\Analysis Methods\Groundmotions\Sequences\231.0_243.0_02.g3,231.0_243.0_02.g3,0.005,14799,0.005,5999,0.005,8000,231,243
231.0_250.0_01.g3,0.005,11998,0.005,5999,0.005,5199,231,250,Q:\My Drive\PhD Program\Research\Thesis\Analysis Methods\Groundmotions\Sequences\231.0_250.0_02.g3,231.0_250.0_02.g3,0.005,11998,0.005,5999,0.005,5199,231,250
289.0_300.0_01.g3,0.002,40232,0.0024,14672,0.002,20626,289,300,Q:\My Drive\PhD Program\Research\Thesis\Analysis Methods\Groundmotions\Sequences\289.0_300.0_02.g3,289.0_300.0_02.g3,0.002,40232,0.0024,14672,0.002,20626,289,300
543.0_246.0_01.g3,0.005,13993,0.005,7994,0.005,5199,543,246,Q:\My Drive\PhD Program\Research\Thesis\Analysis Methods\Groundmotions\Sequences\543.0_246.0_02.g3,543.0_246.0_02.g3,0.005,13992,0.005,7993,0.005,5199,543,246
543.0_548.0_01.g3,0.005,16793,0.005,7994,0.005,7999,543,548,Q:\My Drive\PhD Program\Research\Thesis\Analysis Methods\Groundmotions\Sequences\543.0_548.0_02.g3,543.0_548.0_02.g3,0.005,16792,0.005,7993,0.005,7999,543,548
544.0_549.0_01.g3,0.005,16783,0.005,7984,0.005,7999,544,549,Q:\My Drive\PhD Program\Research\Thesis\Analysis Methods\Groundmotions\Sequences\544.0_549.0_02.g3,544.0_549.0_02.g3,0.005,16783,0.005,7984,0.005,7999,544,549
544.0_559.0_01.g3,0.005,16765,0.005,7984,0.005,7981,544,559,Q:\My Drive\PhD Program\Research\Thesis\Analysis Methods\Groundmotions\Sequences\544.0_559.0_02.g3,544.0_559.0_02.g3,0.005,16766,0.005,7984,0.005,7982,544,559
544.0_562.0_01.g3,0.005,16765,0.005,7984,0.005,7981,544,562,Q:\My Drive\PhD Program\Research\Thesis\Analysis Methods\Groundmotions\Sequences\544.0_562.0_02.g3,544.0_562.0_02.g3,0.005,16765,0.005,7984,0.005,7981,544,562
545.0_247.0_01.g3,0.005,13985,0.005,7986,0.005,5199,545,247,Q:\My Drive\PhD Program\Research\Thesis\Analysis Methods\Groundmotions\Sequences\545.0_247.0_02.g3,545.0_247.0_02.g3,0.005,13986,0.005,7987,0.005,5199,545,247
545.0_550.0_01.g3,0.005,16785,0.005,7986,0.005,7999,545,550,Q:\My Drive\PhD Program\Research\Thesis\Analysis Methods\Groundmotions\Sequences\545.0_550.0_02.g3,545.0_550.0_02.g3,0.005,16786,0.005,7987,0.005,7999,545,550
546.0_552.0_01.g3,0.005,16798,0.005,7999,0.005,7999,546,552,Q:\My Drive\PhD Program\Research\Thesis\Analysis Methods\Groundmotions\Sequences\546.0_552.0_02.g3,546.0_552.0_02.g3,0.005,16798,0.005,7999,0.005,7999,546,552
598.0_3689.0_01.g3,0.005,11424,0.005,6182,0.005,4442,598,3689,Q:\My Drive\PhD Program\Research\Thesis\Analysis Methods\Groundmotions\Sequences\598.0_3689.0_02.g3,598.0_3689.0_02.g3,0.005,11427,0.005,6182,0.005,4445,598,3689
629.0_1707.0_01.g3,0.005,12798,0.005,7998,0.02,1000,629,1707,Q:\My Drive\PhD Program\Research\Thesis\Analysis Methods\Groundmotions\Sequences\629.0_1707.0_02.g3,629.0_1707.0_02.g3,0.005,12799,0.005,7999,0.02,1000,629,1707
642.0_3717.0_01.g3,0.005,12717,0.005,6390,0.005,5527,642,3717,Q:\My Drive\PhD Program\Research\Thesis\Analysis Methods\Groundmotions\Sequences\642.0_3717.0_02.g3,642.0_3717.0_02.g3,0.005,12700,0.005,6385,0.005,5515,642,3717
665.0_1665.0_01.g3,0.005,12789,0.005,7985,0.02,1001,665,1665,Q:\My Drive\PhD Program\Research\Thesis\Analysis Methods\Groundmotions\Sequences\665.0_1665.0_02.g3,665.0_1665.0_02.g3,0.005,12803,0.005,7999,0.02,1001,665,1665
665.0_1670.0_01.g3,0.005,12789,0.005,7985,0.02,1001,665,1670,Q:\My Drive\PhD Program\Research\Thesis\Analysis Methods\Groundmotions\Sequences\665.0_1670.0_02.g3,665.0_1670.0_02.g3,0.005,12803,0.005,7999,0.02,1001,665,1670
665.0_1721.0_01.g3,0.005,12785,0.005,7985,0.02,1000,665,1721,Q:\My Drive\PhD Program\Research\Thesis\Analysis Methods\Groundmotions\Sequences\665.0_1721.0_02.g3,665.0_1721.0_02.g3,0.005,12799,0.005,7999,0.02,1000,665,1721
691.0_716.0_01.g3,0.005,13198,0.005,7999,0.005,4399,691,716,Q:\My Drive\PhD Program\Research\Thesis\Analysis Methods\Groundmotions\Sequences\691.0_716.0_02.g3,691.0_716.0_02.g3,0.005,13198,0.005,7999,0.005,4399,691,716
698.0_3767.0_01.g3,0.005,16798,0.005,7998,0.01,4000,698,3767,Q:\My Drive\PhD Program\Research\Thesis\Analysis Methods\Groundmotions\Sequences\698.0_3767.0_02.g3,698.0_3767.0_02.g3,0.005,16799,0.005,7999,0.01,4000,698,3767
